1808: 99ms
1809: 99ms
1810: 99ms
1811: 100ms
1812: 100ms
1813: 100ms
1814: 100ms
1815: 100ms
1816: 100ms
1817: 100ms
1818: 100ms
1819: 100ms
1820: 100ms
1821: 100ms
1822: 100ms
1823: 100ms
1824: 100ms
1825: 100ms
1826: 101ms
1827: 101ms
1828: 101ms
1829: 101ms
1830: 101ms
1831: 101ms
1832: 101ms
1833: 101ms
1834: 101ms
1835: 101ms
1836: 102ms
1837: 102ms
1838: 102ms
1839: 102ms
1840: 102ms
1841: 102ms
1842: 102ms
1843: 102ms
1844: 102ms
1845: 103ms
1846: 103ms
1847: 103ms
1848: 103ms
1849: 103ms
1850: 103ms
1851: 103ms
1852: 103ms
1853: 103ms
1854: 104ms
1855: 104ms
1856: 104ms
1857: 104ms
1858: 104ms
1859: 104ms
1860: 104ms
1861: 104ms
1862: 104ms
1863: 104ms
1864: 105ms
1865: 105ms
1866: 105ms
1867: 105ms
1868: 105ms
1869: 105ms
1870: 105ms
1871: 105ms
1872: 105ms
1873: 105ms
1874: 105ms
1875: 106ms
1876: 106ms
1877: 106ms
1878: 106ms
1879: 106ms
1880: 106ms
1881: 106ms
1882: 106ms
1883: 106ms
1884: 106ms
1885: 107ms
1886: 107ms
1887: 107ms
1888: 107ms
1889: 107ms
1890: 107ms
1891: 107ms
1892: 107ms
1893: 107ms
1894: 107ms
1895: 107ms
1896: 108ms
1897: 108ms
1898: 108ms
1899: 108ms
1900: 108ms
1901: 108ms
1902: 108ms
1903: 108ms
1904: 108ms
1905: 108ms
1906: 109ms
1907: 109ms
1908: 109ms
1909: 109ms
1910: 109ms
1911: 109ms
1912: 109ms
1913: 109ms
1914: 109ms
1915: 109ms
1916: 110ms
1917: 110ms
1918: 110ms
1919: 110ms
1920: 110ms
1921: 110ms
1922: 110ms
1923: 110ms
1924: 110ms
1925: 110ms
1926: 110ms
1927: 111ms
1928: 111ms
1929: 111ms
1930: 111ms
1931: 111ms
1932: 111ms
1933: 111ms
1934: 111ms
1935: 111ms
1936: 111ms
1937: 111ms
1938: 112ms
1939: 112ms
1940: 112ms
1941: 112ms
1942: 112ms
1943: 112ms
1944: 112ms
1945: 112ms
1946: 112ms
1947: 112ms
1948: 112ms
1949: 112ms
